model,method,dataset_version,test_file_sha256,n_mean,n_std,n_count,json_parse%_mean,json_parse%_std,json_parse%_count,schema_valid%_mean,schema_valid%_std,schema_valid%_count,complete_mean,complete_std,complete_count,top1%_mean,top1%_std,top1%_count,n_fail_mean,n_fail_std,n_fail_count,top3_ok_mean,top3_ok_std,top3_ok_count,top3%_mean,top3%_std,top3%_count,top3_support_mean,top3_support_std,top3_support_count,n_3rec_mean,n_3rec_std,n_3rec_count,n_alt_mean,n_alt_std,n_alt_count,macro_f1_mean,macro_f1_std,macro_f1_count,latency_ms_mean,latency_ms_std,latency_ms_count,para_stab%_mean,para_stab%_std,para_stab%_count,para_acc%_mean,para_acc%_std,para_acc%_count,clarify%_mean,clarify%_std,clarify%_count
/lustre/mahdamld/ramin/ftm_runtime/hf-cache/models--allenai--OLMo-2-0425-1B-Instruct/snapshots/48d788eca847d4d7548f375ad03d3c9312f6139e,prompt_only,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,0.0,2,32.485,0.5161879502661825,2,0.0,0.0,2,0.26095,0.005161879502661837,2,6.02,1.2869343417595158,2,256.5,2.1213203435596424,2,0.0,0.0,2,,,0,0.0401,0.0,2,11.0,0.0,2,14.0,0.0,2,0.0485,0.04327493500861671,2,4857.05,47.4468650176176,2,2.5549999999999997,0.5161879502661798,2,5.29,1.2869343417595167,2,2.735,0.26162950903902266,2
/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,ft,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,,1,97.45,,1,1.46,,1,0.9745,,1,1.46,,1,270.0,,1,0.0,,1,,,0,0.0,,1,0.0,,1,0.0,,1,0.0635,,1,9376.3,,1,1.46,,1,3.65,,1,0.0,,1
/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,ft_rag,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,,1,95.99,,1,0.0,,1,0.958,,1,0.0,,1,274.0,,1,0.0,,1,,,0,0.0,,1,0.0,,1,0.0,,1,0.0,,1,9654.0,,1,0.0,,1,0.36,,1,0.0,,1
/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,prompt_only,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,0.0,3,99.88,0.20784609690827008,3,0.24,0.20784609690826528,3,0.9988,0.002078460969082672,3,0.24,0.20784609690826528,3,273.3333333333333,0.5773502691896216,3,0.0,0.0,3,,,0,0.0024,0.002078460969082653,3,0.6666666666666666,0.5773502691896258,3,0.6666666666666666,0.5773502691896258,3,0.043199999999999995,0.05952621271339208,3,7071.8,6.486139067272947,3,0.12,0.20784609690826528,3,0.48333333333333334,0.21361959960016152,3,3.1633333333333336,0.42146569650842697,3
/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,rag,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,0.0,3,99.88,0.20784609690826392,3,1.2133333333333334,0.2136195996001615,3,0.9988,0.002078460969082672,3,1.09,0.0,3,270.6666666666667,0.5773502691896216,3,0.0,0.0,3,,,0,0.012133333333333335,0.0021361959960016154,3,3.3333333333333335,0.5773502691896258,3,3.3333333333333335,0.5773502691896258,3,0.05196666666666667,0.05242340444241802,3,6631.066666666667,36.6115191344653,3,0.8466666666666667,0.42146569650842686,3,1.0933333333333335,0.36501141534660714,3,0.3633333333333333,0.3650114153466071,3
Qwen/Qwen3-1.7B,ft,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,0.0,2,85.94999999999999,2.842569260369923,2,0.0,0.0,2,0.8595,0.02842569260369922,2,83.03,3.3516861428242417,2,39.0,8.48528137423857,2,0.0,0.0,2,,,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.50885,0.16737217510685576,2,38892.7,203.22248891301737,2,84.125,3.867874093090414,2,83.03,1.8101933598375632,2,0.0,0.0,2
Qwen/Qwen3-1.7B,ft_rag,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,0.0,2,99.27000000000001,1.03237590053235,2,0.0,0.0,2,0.9927,0.010323759005323556,2,89.235,0.26162950903902576,2,2.0,2.8284271247461903,2,0.0,0.0,2,,,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5716,0.05798275605729695,2,58167.2,1376.8783243264459,2,97.995,0.7707463914933392,2,88.685,1.5485638507985375,2,0.0,0.0,2
Qwen/Qwen3-8B,ft,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,,1,86.13,,1,0.0,,1,0.8613,,1,83.94,,1,38.0,,1,0.0,,1,,,0,0.0,,1,0.0,,1,0.0,,1,0.5302,,1,22464.0,,1,83.58,,1,83.94,,1,0.0,,1
Qwen/Qwen3-8B,ft_rag,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,,1,74.09,,1,0.0,,1,0.7409,,1,58.39,,1,72.0,,1,0.0,,1,,,0,0.0,,1,0.0,,1,0.0,,1,0.3105,,1,23054.5,,1,69.34,,1,58.39,,1,0.0,,1
Qwen/Qwen3-8B,prompt_only,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,274.0,,1,100.0,,1,0.0,,1,1.0,,1,91.61,,1,0.0,,1,1.0,,1,97.45,,1,0.9489,,1,260.0,,1,274.0,,1,0.5578,,1,32963.8,,1,100.0,,1,91.61,,1,0.73,,1
