method,model,dataset_version,test_file_sha256,metric,n_seeds,n_values,seed_list,seed_42,seed_43,seed_44,mean,std,ci_low,ci_high,ci_note
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,json_parse_rate,1,1,42,97.45,,,97.45,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,schema_validity_rate,1,1,42,1.46,,,1.46,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_object_rate,1,0,42,,,,,,,,metric unavailable in source runs
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,completeness_score,1,1,42,0.9745,,,0.9745,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,top_1_accuracy,1,1,42,1.46,,,1.46,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,macro_f1,1,1,42,0.0635,,,0.0635,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_task_classification,1,1,42,0.73,,,0.73,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_kpi_selection,1,1,42,1.46,,,1.46,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_mapping_count,1,1,42,1.46,,,1.46,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_encoding,1,1,42,1.46,,,1.46,,,,not reported for fewer than 5 independent seeds
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_x_accuracy,1,0,42,,,,,,,,metric unavailable in source runs
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_y_accuracy,1,0,42,,,,,,,,metric unavailable in source runs
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_aggregate_accuracy,1,0,42,,,,,,,,metric unavailable in source runs
