model_key,method_key,metric,n_seeds,seeds,values,mean,sd,seed_comparability,git_states
olmo2_1_49b,A,json_parse_rate,3,"42,43,44","30.29,32.85,32.12",31.7533,1.3188,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,strict_schema_validity_rate,3,"42,43,44","0,0,0",0.0,0.0,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,encoding_object_rate,3,"42,43,44","12.04,NA,NA",12.04,,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,completeness_score,3,"42,43,44","0.2482,0.2646,0.2573",0.2567,0.0082,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,top_1_accuracy,3,"42,43,44","4.01,6.93,5.11",5.35,1.4747,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,macro_f1,3,"42,43,44","0.188,0.0791,0.0179",0.095,0.0862,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,exact_task_classification,3,"42,43,44","1.09,4.38,4.01",3.16,1.8022,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,exact_encoding,3,"42,43,44","0,0,0",0.0,0.0,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,exact_encoding_strict,3,"42,43,44","0,0,0",0.0,0.0,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,paraphrase_consistency,3,"42,43,44","1.82,2.19,2.92",2.31,0.5597,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,paraphrase_accuracy,3,"42,43,44","6.57,4.38,6.2",5.7167,1.1723,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,missing_info_clarification_rate,3,"42,43,44","3.28,2.92,2.55",2.9167,0.365,unknown_code_state,265109b12002;unknown
olmo2_1_49b,A,avg_latency_ms,3,"42,43,44","10141.1,4890.6,4823.5",6618.4,3050.9322,unknown_code_state,265109b12002;unknown
olmo2_1_49b,B,json_parse_rate,3,"42,43,44","46.35,49.64,47.08",47.69,1.7277,homogeneous,265109b12002
olmo2_1_49b,B,strict_schema_validity_rate,3,"42,43,44","0,0,0",0.0,0.0,homogeneous,265109b12002
olmo2_1_49b,B,encoding_object_rate,3,"42,43,44","9.85,9.85,9.12",9.6067,0.4215,homogeneous,265109b12002
olmo2_1_49b,B,completeness_score,3,"42,43,44","0.368,0.3911,0.3808",0.38,0.0116,homogeneous,265109b12002
olmo2_1_49b,B,top_1_accuracy,3,"42,43,44","21.53,24.09,23.36",22.9933,1.3188,homogeneous,265109b12002
olmo2_1_49b,B,macro_f1,3,"42,43,44","0.1005,0.2382,0.1758",0.1715,0.069,homogeneous,265109b12002
olmo2_1_49b,B,exact_task_classification,3,"42,43,44","13.5,14.23,14.6",14.11,0.5597,homogeneous,265109b12002
olmo2_1_49b,B,exact_encoding,3,"42,43,44","0,0,0",0.0,0.0,homogeneous,265109b12002
olmo2_1_49b,B,exact_encoding_strict,3,"42,43,44","0,0,0",0.0,0.0,homogeneous,265109b12002
olmo2_1_49b,B,paraphrase_consistency,3,"42,43,44","9.12,10.95,9.49",9.8533,0.9676,homogeneous,265109b12002
olmo2_1_49b,B,paraphrase_accuracy,3,"42,43,44","22.99,25.55,23.36",23.9667,1.3836,homogeneous,265109b12002
olmo2_1_49b,B,missing_info_clarification_rate,3,"42,43,44","1.82,1.46,1.09",1.4567,0.365,homogeneous,265109b12002
olmo2_1_49b,B,avg_latency_ms,3,"42,43,44","9952.8,9961.1,9938.4",9950.7667,11.4858,homogeneous,265109b12002
olmo2_1_49b,C,json_parse_rate,3,"42,43,44","2.92,2.92,2.92",2.92,0.0,homogeneous,e07022e2dafb
olmo2_1_49b,C,strict_schema_validity_rate,3,"42,43,44","0,0,0",0.0,0.0,homogeneous,e07022e2dafb
olmo2_1_49b,C,encoding_object_rate,3,"42,43,44","2.92,2.92,2.92",2.92,0.0,homogeneous,e07022e2dafb
olmo2_1_49b,C,completeness_score,3,"42,43,44","0.0292,0.0292,0.0292",0.0292,0.0,homogeneous,e07022e2dafb
olmo2_1_49b,C,top_1_accuracy,3,"42,43,44","2.55,2.92,2.92",2.7967,0.2136,homogeneous,e07022e2dafb
olmo2_1_49b,C,macro_f1,3,"42,43,44","0.0181,0.0199,0.0199",0.0193,0.001,homogeneous,e07022e2dafb
olmo2_1_49b,C,exact_task_classification,3,"42,43,44","2.55,2.92,2.55",2.6733,0.2136,homogeneous,e07022e2dafb
olmo2_1_49b,C,exact_encoding,3,"42,43,44","2.92,2.92,2.92",2.92,0.0,homogeneous,e07022e2dafb
olmo2_1_49b,C,exact_encoding_strict,3,"42,43,44","2.55,2.19,1.82",2.1867,0.365,homogeneous,e07022e2dafb
olmo2_1_49b,C,paraphrase_consistency,3,"42,43,44","2.55,2.92,2.92",2.7967,0.2136,homogeneous,e07022e2dafb
olmo2_1_49b,C,paraphrase_accuracy,3,"42,43,44","2.55,3.28,3.28",3.0367,0.4215,homogeneous,e07022e2dafb
olmo2_1_49b,C,missing_info_clarification_rate,3,"42,43,44","0,0,0",0.0,0.0,homogeneous,e07022e2dafb
olmo2_1_49b,C,avg_latency_ms,3,"42,43,44","13598,11876.6,11898.4",12457.6667,987.6178,homogeneous,e07022e2dafb
olmo2_1_49b,D,json_parse_rate,3,"42,43,44","1.09,2.55,3.28",2.3067,1.1151,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,strict_schema_validity_rate,3,"42,43,44","0,0,0",0.0,0.0,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,encoding_object_rate,3,"42,43,44","1.09,2.55,3.28",2.3067,1.1151,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,completeness_score,3,"42,43,44","0.0109,0.0255,0.0328",0.0231,0.0112,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,top_1_accuracy,3,"42,43,44","0.73,2.19,2.92",1.9467,1.1151,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,macro_f1,3,"42,43,44","0.0106,0.0168,0.0269",0.0181,0.0082,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,exact_task_classification,3,"42,43,44","1.09,2.19,2.55",1.9433,0.7606,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,exact_encoding,3,"42,43,44","1.09,2.55,3.28",2.3067,1.1151,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,exact_encoding_strict,3,"42,43,44","1.09,1.46,2.19",1.58,0.5597,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,paraphrase_consistency,3,"42,43,44","1.09,2.19,2.55",1.9433,0.7606,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,paraphrase_accuracy,3,"42,43,44","1.46,2.19,2.19",1.9467,0.4215,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,missing_info_clarification_rate,3,"42,43,44","0,0,0",0.0,0.0,mixed_code_state,449cd9ea9c62;e07022e2dafb
olmo2_1_49b,D,avg_latency_ms,3,"42,43,44","13838,12013.7,13389.9",13080.5333,950.6831,mixed_code_state,449cd9ea9c62;e07022e2dafb
qwen3_1_7b,A,json_parse_rate,3,"42,43,44","99.64,100,100",99.88,0.2078,unknown_code_state,unknown
qwen3_1_7b,A,strict_schema_validity_rate,3,"42,43,44","0.36,0,0.36",0.24,0.2078,unknown_code_state,unknown
qwen3_1_7b,A,encoding_object_rate,3,"42,43,44","NA,NA,NA",,,unknown_code_state,unknown
qwen3_1_7b,A,completeness_score,3,"42,43,44","0.9964,1,1",0.9988,0.0021,unknown_code_state,unknown
qwen3_1_7b,A,top_1_accuracy,3,"42,43,44","0.36,0,0.36",0.24,0.2078,unknown_code_state,unknown
qwen3_1_7b,A,macro_f1,3,"42,43,44","0.1111,0,0.0185",0.0432,0.0595,unknown_code_state,unknown
qwen3_1_7b,A,exact_task_classification,3,"42,43,44","0,0,0.36",0.12,0.2078,unknown_code_state,unknown
qwen3_1_7b,A,exact_encoding,3,"42,43,44","0,0,0",0.0,0.0,unknown_code_state,unknown
qwen3_1_7b,A,exact_encoding_strict,3,"42,43,44","NA,0,0",0.0,0.0,unknown_code_state,unknown
qwen3_1_7b,A,paraphrase_consistency,3,"42,43,44","0,0,0.36",0.12,0.2078,unknown_code_state,unknown
qwen3_1_7b,A,paraphrase_accuracy,3,"42,43,44","0.36,0.36,0.73",0.4833,0.2136,unknown_code_state,unknown
qwen3_1_7b,A,missing_info_clarification_rate,3,"42,43,44","3.65,2.92,2.92",3.1633,0.4215,unknown_code_state,unknown
qwen3_1_7b,A,avg_latency_ms,3,"42,43,44","7076.5,7074.5,7064.4",7071.8,6.4861,unknown_code_state,unknown
qwen3_1_7b,B,json_parse_rate,3,"42,43,44","100,99.64,100",99.88,0.2078,unknown_code_state,unknown
qwen3_1_7b,B,strict_schema_validity_rate,3,"42,43,44","1.09,1.46,1.09",1.2133,0.2136,unknown_code_state,unknown
qwen3_1_7b,B,encoding_object_rate,3,"42,43,44","NA,NA,NA",,,unknown_code_state,unknown
qwen3_1_7b,B,completeness_score,3,"42,43,44","1,0.9964,1",0.9988,0.0021,unknown_code_state,unknown
qwen3_1_7b,B,top_1_accuracy,3,"42,43,44","1.09,1.09,1.09",1.09,0.0,unknown_code_state,unknown
qwen3_1_7b,B,macro_f1,3,"42,43,44","0.0217,0.1125,0.0217",0.052,0.0524,unknown_code_state,unknown
qwen3_1_7b,B,exact_task_classification,3,"42,43,44","0.36,0.36,0.36",0.36,0.0,unknown_code_state,unknown
qwen3_1_7b,B,exact_encoding,3,"42,43,44","0,0.36,0.36",0.24,0.2078,unknown_code_state,unknown
qwen3_1_7b,B,exact_encoding_strict,3,"42,43,44","NA,0,0",0.0,0.0,unknown_code_state,unknown
qwen3_1_7b,B,paraphrase_consistency,3,"42,43,44","1.09,0.36,1.09",0.8467,0.4215,unknown_code_state,unknown
qwen3_1_7b,B,paraphrase_accuracy,3,"42,43,44","1.09,0.73,1.46",1.0933,0.365,unknown_code_state,unknown
qwen3_1_7b,B,missing_info_clarification_rate,3,"42,43,44","0,0.73,0.36",0.3633,0.365,unknown_code_state,unknown
