model_key,method_key,seed,gold_primary_chart,predicted_primary_chart,count
qwen3_8b,D,42,pie,donut,29
qwen3_8_27b,B,42,pie,donut,28
qwen3_8b,B,42,pie,donut,28
qwen3_1_7b,D,44,bar,stacked_bar,9
qwen3_8b,A,42,bar,histogram,9
qwen3_1_7b,D,43,bar,stacked_bar,8
qwen3_8b,B,42,bar,histogram,8
qwen3_1_7b,D,44,bar,line,7
qwen3_8_27b,B,42,bar,histogram,7
qwen3_8_27b,B,42,stacked_bar,bar,6
qwen3_8_27b,C,42,stacked_bar,bar,6
qwen3_8b,B,42,stacked_bar,bar,6
qwen3_1_7b,C,43,stacked_bar,bar,5
qwen3_1_7b,C,44,stacked_bar,bar,5
qwen3_8_27b,A,42,pie,donut,5
qwen3_8_27b,A,42,bar,histogram,5
qwen3_8_27b,A,42,stacked_bar,bar,5
qwen3_8b,A,42,stacked_bar,bar,5
qwen3_8b,D,42,bar,stacked_bar,5
olmo2_1_49b,B,42,stacked_bar,bar,4
olmo2_1_49b,B,43,stacked_bar,bar,4
olmo2_1_49b,B,43,bar,stacked_bar,4
olmo2_1_49b,B,43,bar,line,4
qwen3_1_7b,D,43,bar,scatter,4
qwen3_1_7b,D,43,stacked_bar,bar,4
qwen3_1_7b,D,44,stacked_bar,bar,4
qwen3_8_27b,D,42,stacked_bar,bar,4
qwen3_8b,A,42,pie,bar,4
qwen3_8b,B,42,pie,bar,4
olmo2_1_49b,B,42,bar,stacked_bar,3
olmo2_1_49b,B,42,bar,line,3
olmo2_1_49b,B,44,stacked_bar,bar,3
qwen3_1_7b,D,43,bar,pie,3
qwen3_1_7b,D,43,bar,line,3
qwen3_1_7b,D,44,bar,scatter,3
olmo2_1_49b,B,42,bar,histogram,2
olmo2_1_49b,B,43,bar,histogram,2
olmo2_1_49b,B,44,bar,histogram,2
qwen3_1_7b,C,43,pie,bar,2
qwen3_1_7b,C,44,pie,bar,2
qwen3_1_7b,D,43,pie,bar,2
qwen3_1_7b,D,44,pie,bar,2
qwen3_1_7b,D,44,bar,pie,2
qwen3_8_27b,C,42,pie,bar,2
qwen3_8_27b,D,42,pie,bar,2
qwen3_8b,A,42,bar,grouped_bar,2
qwen3_8b,B,42,bar,table,2
qwen3_8b,C,42,pie,bar,2
qwen3_8b,D,42,bar,histogram,2
qwen3_8b,D,42,pie,bar,2
qwen3_8b,D,42,bar,line,2
olmo2_1_49b,A,42,stacked_bar,bar,1
olmo2_1_49b,A,44,bar,histogram,1
olmo2_1_49b,A,44,stacked_bar,bar,1
olmo2_1_49b,B,42,pie,line,1
olmo2_1_49b,B,42,pie,heatmap,1
olmo2_1_49b,B,43,pie,line,1
olmo2_1_49b,B,43,pie,donut,1
olmo2_1_49b,B,43,pie,bar,1
olmo2_1_49b,B,44,line,stacked_bar,1
olmo2_1_49b,B,44,bar,scatter,1
olmo2_1_49b,B,44,pie,donut,1
olmo2_1_49b,B,44,pie,line,1
olmo2_1_49b,B,44,bar,line,1
olmo2_1_49b,B,44,bar,stacked_bar,1
olmo2_1_49b,C,42,bar,pie,1
olmo2_1_49b,D,42,bar,stacked_bar,1
olmo2_1_49b,D,43,bar,scatter,1
olmo2_1_49b,D,44,bar,scatter,1
qwen3_1_7b,B,43,bar,histogram,1
qwen3_1_7b,C,43,bar,histogram,1
qwen3_1_7b,D,43,stacked_bar,line,1
qwen3_1_7b,D,44,bar,donut,1
qwen3_1_7b,D,44,stacked_bar,line,1
qwen3_1_7b,D,44,bar,histogram,1
qwen3_8_27b,A,42,line,bar,1
qwen3_8_27b,A,42,pie,bar,1
qwen3_8_27b,A,42,stacked_bar,grouped_bar,1
qwen3_8_27b,A,42,pie,table,1
qwen3_8_27b,A,42,bar,kpi_card,1
qwen3_8_27b,A,42,bar,table,1
qwen3_8_27b,B,42,pie,bar,1
qwen3_8_27b,B,42,pie,table,1
qwen3_8_27b,B,42,bar,kpi_card,1
qwen3_8_27b,B,42,bar,table,1
qwen3_8_27b,C,42,bar,histogram,1
qwen3_8_27b,D,42,bar,histogram,1
qwen3_8b,A,42,stacked_bar,grouped_bar,1
qwen3_8b,A,42,pie,stacked_bar,1
qwen3_8b,A,42,bar,table,1
qwen3_8b,B,42,pie,stacked_bar,1
qwen3_8b,C,42,stacked_bar,bar,1
qwen3_8b,C,42,pie,stacked_bar,1
qwen3_8b,C,42,bar,histogram,1
qwen3_8b,C,42,bar,line,1
qwen3_8b,D,42,pie,stacked_bar,1
qwen3_8b,D,42,bar,pie,1
