model_key,method_key,seed,n_items,n_json_object_extracted,n_chart_token_present,pipeline_top_1_accuracy,n_truncated_generations,format_tolerant_chart_accuracy,text_level_chart_accuracy,gap_percentage_points
olmo2_1_49b,A,42,274,83,83,4.01,272,26.28,86.86,82.85
olmo2_1_49b,A,43,274,90,90,6.93,272,28.83,87.59,80.66
olmo2_1_49b,A,44,274,88,88,5.11,273,30.29,86.13,81.02
olmo2_1_49b,B,42,274,127,127,21.53,274,37.96,84.67,63.14
olmo2_1_49b,B,43,274,136,136,24.09,274,41.61,83.58,59.49
olmo2_1_49b,B,44,274,129,129,23.36,272,40.51,85.77,62.41
olmo2_1_49b,C,42,274,8,8,2.55,256,2.55,87.23,84.68
olmo2_1_49b,C,43,274,8,8,2.92,254,2.92,93.43,90.51
olmo2_1_49b,C,44,274,8,8,2.92,258,2.92,94.89,91.97
olmo2_1_49b,D,42,274,3,3,0.73,264,0.73,59.85,59.12
olmo2_1_49b,D,43,274,7,7,2.19,262,2.19,56.93,54.74
olmo2_1_49b,D,44,274,9,9,2.92,258,2.92,66.06,63.14
qwen3_1_7b,A,42,274,273,273,0.36,0,86.5,86.86,86.5
qwen3_1_7b,A,43,274,274,274,0.0,0,87.23,87.23,87.23
qwen3_1_7b,A,44,274,274,274,0.36,0,86.86,86.86,86.5
qwen3_1_7b,B,42,274,274,274,1.09,0,90.51,90.51,89.42
qwen3_1_7b,B,43,274,273,273,1.09,0,89.78,90.15,89.06
qwen3_1_7b,B,44,274,274,274,1.09,0,89.05,89.05,87.96
qwen3_1_7b,C,42,274,267,267,1.46,1,94.53,96.72,95.26
qwen3_1_7b,C,43,274,230,230,80.66,38,81.02,96.72,16.06
qwen3_1_7b,C,44,274,241,241,85.4,29,85.4,97.45,12.05
qwen3_1_7b,D,42,274,263,263,0.0,1,89.05,93.07,93.07
qwen3_1_7b,D,43,274,270,270,89.42,0,89.42,90.88,1.46
qwen3_1_7b,D,44,274,274,274,89.05,0,89.05,89.05,0.0
qwen3_8_27b,A,42,274,274,274,92.34,0,92.34,92.34,-0.0
qwen3_8_27b,B,42,274,274,274,83.58,0,83.58,83.58,-0.0
qwen3_8_27b,C,42,274,274,274,96.72,0,96.72,96.72,-0.0
qwen3_8_27b,D,42,274,274,274,97.45,0,97.45,97.45,-0.0
qwen3_8b,A,42,274,274,274,91.61,0,91.61,91.61,-0.0
qwen3_8b,B,42,274,274,274,82.12,0,82.12,82.12,-0.0
qwen3_8b,C,42,274,236,236,83.94,36,83.94,95.99,12.05
qwen3_8b,D,42,274,203,203,58.39,69,58.76,77.01,18.62
